ticker,company_name,holder_name,shares,percent_owned,filing_date
MMM,3M,Vanguard Group,49080209.0,,2025-09-18
MMM,3M,BlackRock,49080209.0,,2025-09-18
MMM,3M,State Street,27686.0,,2025-09-18
AOS,A. O. Smith,Vanguard Group,14253913.0,,2025-09-18
AOS,A. O. Smith,BlackRock,10074034.0,11.6,2025-09-18
AOS,A. O. Smith,State Street,7415770.0,,2025-09-18
ABT,Abbott Laboratories,Vanguard Group,30106150.0,,2025-09-18
ABT,Abbott Laboratories,BlackRock,30106150.0,,2025-09-18
ABT,Abbott Laboratories,Northern Trust,30106150.0,,2025-09-18
ABBV,AbbVie,Vanguard Group,160380057.0,28.8,2025-09-18
ABBV,AbbVie,BlackRock,143180060.0,28.8,2025-09-18
ACN,Accenture,Vanguard Group,59071878.0,,2025-09-18
ACN,Accenture,BlackRock,47931575.0,,2025-09-18
ADBE,Adobe Inc.,Vanguard Group,40262670.0,,2025-09-18
ADBE,Adobe Inc.,BlackRock,37969080.0,,2025-09-18
AMD,Advanced Micro Devices,Vanguard Group,142442745.0,,2025-09-18
AMD,Advanced Micro Devices,BlackRock,124945206.0,8.8,2025-09-18
AMD,Advanced Micro Devices,Capital Group,,5.0,2025-09-18
AFL,Aflac,Vanguard Group,52438841.0,,2025-09-18
AFL,Aflac,BlackRock,42164887.0,,2025-09-18
A,Agilent Technologies,Vanguard Group,33446526.0,,2025-09-18
A,Agilent Technologies,BlackRock,27257254.0,,2025-09-18
A,Agilent Technologies,Fidelity,,3.333,2025-09-18
APD,Air Products,Vanguard Group,164227.0,1.0,2025-09-18
APD,Air Products,BlackRock,20763782.0,1.0,2025-09-18
APD,Air Products,Fidelity,,1.0,2025-09-18
AKAM,Akamai Technologies,BlackRock,,11.7,2025-09-18
ALB,Albemarle Corporation,Vanguard Group,14083522.0,,2025-09-18
ALGN,Align Technology,Vanguard Group,8349611.0,,2025-09-18
ALGN,Align Technology,BlackRock,8349611.0,,2025-09-18
ALLE,Allegion,Vanguard Group,10620385.0,,2025-09-18
ALLE,Allegion,BlackRock,8046943.0,,2025-09-18
LNT,Alliant Energy,BlackRock,32094212.0,,2025-09-18
LNT,Alliant Energy,State Street,23143382.0,,2025-09-18
ALL,Allstate,Vanguard Group,32184316.0,,2025-09-18
ALL,Allstate,BlackRock,22236119.0,,2025-09-18
GOOGL,Alphabet Inc. (Class A),Vanguard Group,47472677.0,,2025-09-18
GOOGL,Alphabet Inc. (Class A),BlackRock,415076460.0,35.0,2025-09-18
GOOG,Alphabet Inc. (Class C),Vanguard Group,47472677.0,,2025-09-18
GOOG,Alphabet Inc. (Class C),BlackRock,415076460.0,35.0,2025-09-18
