Institution,Total_Shares,Positions_Count,Avg_Position_Size
Vanguard Group,23047418706.0,356,64739940.18539326
BlackRock,20021585109.0,344,58202282.29360465
State Street,3663814749.0,80,45797684.3625
Bank of New York Mellon,1497847034.0,5,299569406.8
T. Rowe Price,1468009516.0,30,48933650.53333333
Fidelity,1294778728.0,28,46242097.428571425
JPMorgan,830985878.0,19,43736098.84210526
Capital Group,822579479.0,22,37389976.31818182
Berkshire Hathaway,277330367.0,7,39618623.85714286
Wellington Management,262559489.0,9,29173276.555555556
Northern Trust,194536029.0,4,48634007.25
Invesco,200000.0,1,200000.0
